"Date","InCount"
"220","2010-02-21","66021"
"221","2010-02-22","153616"
"222","2010-02-23","156904"
"223","2010-02-24","150065"
"224","2010-02-25","162358"
"225","2010-02-26","174885"
"226","2010-02-27","292237"
"227","2010-02-28","110529"
"228","2010-03-01","170890"
"229","2010-03-02","186850"
"230","2010-03-03","175768"
"231","2010-03-04","189856"
"232","2010-03-05","201437"
"233","2010-03-06","279403"
"234","2010-03-07","124887"
"235","2010-03-08","169207"
"236","2010-03-09","169653"
"237","2010-03-10","181330"
"238","2010-03-11","193678"
"239","2010-03-12","185794"
"240","2010-03-13","330914"
"241","2010-03-14","99892"
"242","2010-03-15","152125"
"243","2010-03-16","171996"
"244","2010-03-17","175993"
"245","2010-03-18","178410"
"246","2010-03-19","210625"
"247","2010-03-20","236835"
"248","2010-03-21","149103"
"249","2010-03-22","144172"
"250","2010-03-23","176563"
"251","2010-03-24","164854"
"252","2010-03-25","185813"
"253","2010-03-26","209645"
"254","2010-03-27","314572"
"255","2010-03-28","118502"
"256","2010-03-29","147709"
"257","2010-03-30","157227"
"258","2010-03-31","164857"
"259","2010-04-01","220529"
"260","2010-04-02","188608"
"261","2010-04-03","258343"
"262","2010-04-04","46456"
"263","2010-04-05","120238"
"264","2010-04-06","208474"
"265","2010-04-07","186705"
"266","2010-04-08","219025"
"267","2010-04-09","224945"
"268","2010-04-10","259304"
"269","2010-04-11","105969"
"270","2010-04-12","196131"
"271","2010-04-13","182637"
"272","2010-04-14","193316"
"273","2010-04-15","189570"
"274","2010-04-16","228394"
"275","2010-04-17","266771"
"276","2010-04-18","97820"
"277","2010-04-19","146008"
"278","2010-04-20","189432"
"279","2010-04-21","192055"
"280","2010-04-22","199481"
"281","2010-04-23","201262"
"282","2010-04-24","314958"
"283","2010-04-25","108346"
"284","2010-04-26","166605"
"285","2010-04-27","189341"
"286","2010-04-28","180766"
"287","2010-04-29","176062"
"288","2010-04-30","230452"
"289","2010-05-01","300024"
"290","2010-05-02","119306"
"291","2010-05-03","138670"
"292","2010-05-04","177245"
"293","2010-05-05","164970"
"294","2010-05-06","157662"
"295","2010-05-07","193480"
"296","2010-05-08","278803"
"297","2010-05-09","108500"
"298","2010-05-10","141924"
"299","2010-05-11","159822"
"300","2010-05-12","156121"
"301","2010-05-13","175791"
"302","2010-05-14","179626"
"303","2010-05-15","283428"
"304","2010-05-16","116523"
"305","2010-05-17","159550"
"306","2010-05-18","163019"
"307","2010-05-19","162711"
"308","2010-05-20","182876"
"309","2010-05-21","210456"
"310","2010-05-22","264697"
"311","2010-05-23","107446"
"312","2010-05-24","167030"
"313","2010-05-25","154591"
"314","2010-05-26","160222"
"315","2010-05-27","185616"
"316","2010-05-28","227341"
"317","2010-05-29","247863"
"318","2010-05-30","136543"
"319","2010-05-31","159276"
"320","2010-06-01","193779"
"321","2010-06-02","219853"
"322","2010-06-03","228868"
"323","2010-06-04","233938"
"324","2010-06-05","252267"
"325","2010-06-06","95099"
"326","2010-06-07","161952"
"327","2010-06-08","153846"
"328","2010-06-09","145463"
"329","2010-06-10","165429"
"330","2010-06-11","181470"
"331","2010-06-12","245613"
"332","2010-06-13","97632"
"333","2010-06-14","140801"
"334","2010-06-15","168087"
"335","2010-06-16","171368"
"336","2010-06-17","181833"
"337","2010-06-18","184374"
"338","2010-06-19","250642"
"339","2010-06-20","109827"
"340","2010-06-21","162180"
"341","2010-06-22","164183"
"342","2010-06-23","160196"
"343","2010-06-24","189303"
"344","2010-06-25","198385"
"345","2010-06-26","274895"
"346","2010-06-27","100320"
"347","2010-06-28","175064"
"348","2010-06-29","162924"
"349","2010-06-30","183907"
"350","2010-07-01","178143"
"351","2010-07-02","200352"
"352","2010-07-03","271130"
"353","2010-07-04","140879"
"354","2010-07-05","167917"
"355","2010-07-06","169605"
"356","2010-07-07","156940"
"357","2010-07-08","188475"
"358","2010-07-09","197439"
"359","2010-07-10","241230"
"360","2010-07-11","121290"
"361","2010-07-12","145606"
"362","2010-07-13","162011"
"363","2010-07-14","160933"
"364","2010-07-15","170690"
"365","2010-07-16","188800"
"366","2010-07-17","266160"
"367","2010-07-18","124751"
"368","2010-07-19","182764"
"369","2010-07-20","159904"
"370","2010-07-21","171460"
"371","2010-07-22","177102"
"372","2010-07-23","209121"
"373","2010-07-24","244612"
"374","2010-07-25","117728"
"375","2010-07-26","158763"
"376","2010-07-27","178645"
"377","2010-07-28","167036"
"378","2010-07-29","200129"
"379","2010-07-30","202872"
"380","2010-07-31","237982"
"381","2010-08-01","124528"
"382","2010-08-02","169484"
"383","2010-08-03","183677"
"384","2010-08-04","169650"
"385","2010-08-05","190028"
"386","2010-08-06","187403"
"387","2010-08-07","227865"
"388","2010-08-08","106040"
"389","2010-08-09","163690"
"390","2010-08-10","183836"
"391","2010-08-11","172431"
"392","2010-08-12","181950"
"393","2010-08-13","172246"
"394","2010-08-14","230170"
"395","2010-08-15","109279"
"396","2010-08-16","195802"
"397","2010-08-17","176863"
"398","2010-08-18","183939"
"399","2010-08-19","197366"
"400","2010-08-20","186443"
"401","2010-08-21","231169"
"402","2010-08-22","113056"
"403","2010-08-23","160304"
"404","2010-08-24","170777"
"405","2010-08-25","203353"
"406","2010-08-26","192988"
"407","2010-08-27","228396"
"408","2010-08-28","244409"
"409","2010-08-29","122234"
"410","2010-08-30","135314"
"411","2010-08-31","222648"
"412","2010-09-01","210326"
"413","2010-09-02","202425"
"414","2010-09-03","195143"
"415","2010-09-04","244593"
"416","2010-09-05","114166"
"417","2010-09-06","162333"
"418","2010-09-07","176180"
"419","2010-09-08","169256"
"420","2010-09-09","174280"
"421","2010-09-10","174012"
"422","2010-09-11","239690"
"423","2010-09-12","116425"
"424","2010-09-13","157903"
"425","2010-09-14","164299"
"426","2010-09-15","143247"
"427","2010-09-16","185864"
"428","2010-09-17","190524"
"429","2010-09-18","262363"
"430","2010-09-19","111849"
"431","2010-09-20","165427"
"432","2010-09-21","194597"
"433","2010-09-22","204899"
"434","2010-09-23","192188"
"435","2010-09-24","201793"
"436","2010-09-25","320438"
"437","2010-09-26","140027"
"438","2010-09-27","173044"
"439","2010-09-28","186471"
"440","2010-09-29","172600"
"441","2010-09-30","216441"
"442","2010-10-01","186077"
"443","2010-10-02","349918"
"444","2010-10-03","96523"
"445","2010-10-04","183987"
"446","2010-10-05","195311"
"447","2010-10-06","183502"
"448","2010-10-07","195619"
"449","2010-10-08","205732"
"450","2010-10-09","298369"
"451","2010-10-10","144441"
"452","2010-10-11","169078"
"453","2010-10-12","178675"
"454","2010-10-13","192117"
"455","2010-10-14","176089"
"456","2010-10-15","199139"
"457","2010-10-16","288940"
"458","2010-10-17","131897"
"459","2010-10-18","155371"
"460","2010-10-19","168300"
"461","2010-10-20","184287"
"462","2010-10-21","179953"
"463","2010-10-22","224907"
"464","2010-10-23","277082"
"465","2010-10-24","135954"
"466","2010-10-25","234851"
"467","2010-10-26","202161"
"468","2010-10-27","244898"
"469","2010-10-28","241097"
"470","2010-10-29","295400"
"471","2010-10-30","343654"
"472","2010-10-31","129595"
"473","2010-11-01","173414"
"474","2010-11-02","156056"
"475","2010-11-03","163567"
"476","2010-11-04","151218"
"477","2010-11-05","192154"
"478","2010-11-06","312098"
"479","2010-11-07","133964"
"480","2010-11-08","132700"
"481","2010-11-09","152400"
"482","2010-11-10","191045"
"483","2010-11-11","153709"
"484","2010-11-12","160357"
"485","2010-11-13","297489"
"486","2010-11-14","131681"
"487","2010-11-15","179374"
"488","2010-11-16","169528"
"489","2010-11-17","143947"
"490","2010-11-18","191500"
"491","2010-11-19","196725"
"492","2010-11-20","324530"
"493","2010-11-21","148818"
"494","2010-11-22","160912"
"495","2010-11-23","174204"
"496","2010-11-24","181020"
"497","2010-11-25","190029"
"498","2010-11-26","240850"
"499","2010-11-27","327758"
"500","2010-11-28","159475"
"501","2010-11-29","135379"
"502","2010-11-30","146276"
"503","2010-12-01","94956"
"504","2010-12-02","137061"
"505","2010-12-03","198323"
"506","2010-12-04","354751"
"507","2010-12-05","181409"
"508","2010-12-06","210788"
"509","2010-12-07","188718"
"510","2010-12-08","214871"
"511","2010-12-09","223067"
"512","2010-12-10","222564"
"513","2010-12-11","363906"
"514","2010-12-12","185694"
"515","2010-12-13","206821"
"516","2010-12-14","205841"
"517","2010-12-15","234598"
"518","2010-12-16","225378"
"519","2010-12-17","279297"
"520","2010-12-18","293611"
"521","2010-12-19","167739"
"522","2010-12-20","277666"
"523","2010-12-21","299106"
"524","2010-12-22","274708"
"525","2010-12-23","312109"
"526","2010-12-24","226060"
"527","2010-12-25","4572"
"528","2010-12-26","144832"
"529","2010-12-27","260481"
"530","2010-12-28","237672"
"531","2010-12-29","274487"
"532","2010-12-30","254298"
"533","2010-12-31","215244"
"534","2011-01-01","47767"
"535","2011-01-02","115685"
"536","2011-01-03","160658"
"537","2011-01-04","165334"
"538","2011-01-05","135127"
"539","2011-01-06","148253"
"540","2011-01-07","113746"
"541","2011-01-08","205041"
"542","2011-01-09","87506"
"543","2011-01-10","138393"
"544","2011-01-11","148861"
"545","2011-01-12","143509"
"546","2011-01-13","157150"
"547","2011-01-14","171088"
"548","2011-01-15","213850"
"549","2011-01-16","83462"
"550","2011-01-17","148953"
"551","2011-01-18","161793"
"552","2011-01-19","174618"
"553","2011-01-20","179544"
"554","2011-01-21","172724"
"555","2011-01-22","240530"
"556","2011-01-23","102720"
"557","2011-01-24","154442"
"558","2011-01-25","142680"
"559","2011-01-26","151608"
"560","2011-01-27","162700"
"561","2011-01-28","188919"
"562","2011-01-29","292402"
"563","2011-01-30","113969"
"564","2011-01-31","148512"
"565","2011-02-01","149170"
"566","2011-02-02","147329"
"567","2011-02-03","163382"
"568","2011-02-04","139924"
"569","2011-02-05","219302"
"570","2011-02-06","98849"
"571","2011-02-07","138705"
"572","2011-02-08","168809"
"573","2011-02-09","156386"
"574","2011-02-10","183985"
"575","2011-02-11","178874"
"576","2011-02-12","278398"
"577","2011-02-13","100533"
"578","2011-02-14","169374"
"579","2011-02-15","145769"
"580","2011-02-16","162119"
"581","2011-02-17","153402"
"582","2011-02-18","178137"
"583","2011-02-19","171844"
"584","2011-02-20","101079"
"585","2011-02-21","154039"
"586","2011-02-22","182551"
"587","2011-02-23","185023"
"588","2011-02-24","213065"
"589","2011-02-25","229628"
"590","2011-02-26","227558"
"591","2011-02-27","99676"
"592","2011-02-28","155137"
"593","2011-03-01","166433"
"594","2011-03-02","150672"
"595","2011-03-03","157176"
"596","2011-03-04","180636"
"597","2011-03-05","253342"
"598","2011-03-06","109368"
"599","2011-03-07","147708"
"600","2011-03-08","155950"
"601","2011-03-09","139995"
"602","2011-03-10","145577"
"603","2011-03-11","173846"
"604","2011-03-12","256497"
"605","2011-03-13","100754"
"606","2011-03-14","159489"
"607","2011-03-15","143132"
"608","2011-03-16","152635"
"609","2011-03-17","173354"
"610","2011-03-18","187459"
"611","2011-03-19","258149"
"612","2011-03-20","99553"
"613","2011-03-21","155395"
"614","2011-03-22","174732"
"615","2011-03-23","179997"
"616","2011-03-24","173469"
"617","2011-03-25","208287"
"618","2011-03-26","277833"
"619","2011-03-27","118548"
"620","2011-03-28","164602"
"621","2011-03-29","153518"
"622","2011-03-30","154375"
"623","2011-03-31","172636"
"624","2011-04-01","220828"
"625","2011-04-02","288469"
"626","2011-04-03","103984"
"627","2011-04-04","142246"
"628","2011-04-05","154081"
"629","2011-04-06","182990"
"630","2011-04-07","182131"
"631","2011-04-08","200105"
"632","2011-04-09","235086"
"633","2011-04-10","107842"
"634","2011-04-11","145436"
"635","2011-04-12","181972"
"636","2011-04-13","157895"
"637","2011-04-14","165258"
"638","2011-04-15","187705"
"639","2011-04-16","230076"
"640","2011-04-17","110292"
"641","2011-04-18","176826"
"642","2011-04-19","191039"
"643","2011-04-20","194927"
"644","2011-04-21","225354"
"645","2011-04-22","189262"
"646","2011-04-23","211793"
"647","2011-04-24","45638"
"648","2011-04-25","121995"
"649","2011-04-26","142120"
"650","2011-04-27","188199"
"651","2011-04-28","224526"
"652","2011-04-29","114673"
"653","2011-04-30","263065"
"654","2011-05-01","112170"
"655","2011-05-02","126067"
"656","2011-05-03","157548"
"657","2011-05-04","169530"
"658","2011-05-05","161018"
"659","2011-05-06","173689"
"660","2011-05-07","207647"
"661","2011-05-08","106056"
"662","2011-05-09","148773"
"663","2011-05-10","144998"
"664","2011-05-11","155409"
"665","2011-05-12","165598"
"666","2011-05-13","157456"
"667","2011-05-14","229222"
"668","2011-05-15","87800"
"669","2011-05-16","134059"
"670","2011-05-17","145210"
"671","2011-05-18","149862"
"672","2011-05-19","165434"
"673","2011-05-20","168836"
"674","2011-05-21","249477"
"675","2011-05-22","96889"
"676","2011-05-23","125692"
"677","2011-05-24","160545"
"678","2011-05-25","155753"
"679","2011-05-26","164988"
"680","2011-05-27","205723"
"681","2011-05-28","250313"
"682","2011-05-29","108687"
"683","2011-05-30","112696"
"684","2011-05-31","208787"
"685","2011-06-01","205799"
"686","2011-06-02","201094"
"687","2011-06-03","202018"
"688","2011-06-04","214301"
"689","2011-06-05","101291"
"690","2011-06-06","160910"
"691","2011-06-07","149367"
"692","2011-06-08","150741"
"693","2011-06-09","172714"
"694","2011-06-10","153288"
"695","2011-06-11","232397"
"696","2011-06-12","76396"
"697","2011-06-13","143220"
"698","2011-06-14","164113"
"699","2011-06-15","152495"
"700","2011-06-16","165047"
"701","2011-06-17","175602"
"702","2011-06-18","250161"
"703","2011-06-19","115385"
"704","2011-06-20","155420"
"705","2011-06-21","150730"
"706","2011-06-22","153109"
"707","2011-06-23","145607"
"708","2011-06-24","197193"
"709","2011-06-25","248061"
"710","2011-06-26","104842"
"711","2011-06-27","153509"
"712","2011-06-28","158442"
"713","2011-06-29","147368"
"714","2011-06-30","212656"
"715","2011-07-01","182863"
"716","2011-07-02","234028"
"717","2011-07-03","112394"
"718","2011-07-04","159895"
"719","2011-07-05","157605"
"720","2011-07-06","155057"
"721","2011-07-07","153295"
"722","2011-07-08","158564"
"723","2011-07-09","241836"
"724","2011-07-10","103027"
"725","2011-07-11","160101"
"726","2011-07-12","150554"
"727","2011-07-13","152365"
"728","2011-07-14","166606"
"729","2011-07-15","179532"
"730","2011-07-16","218560"
"731","2011-07-17","107661"
"732","2011-07-18","140898"
"733","2011-07-19","168148"
"734","2011-07-20","159582"
"735","2011-07-21","173798"
"736","2011-07-22","178963"
"737","2011-07-23","226803"
"738","2011-07-24","100617"
"739","2011-07-25","160155"
"740","2011-07-26","176767"
"741","2011-07-27","172806"
"742","2011-07-28","189732"
"743","2011-07-29","208030"
"744","2011-07-30","233242"
"745","2011-07-31","104682"
"746","2011-08-01","155645"
"747","2011-08-02","163710"
"748","2011-08-03","156564"
"749","2011-08-04","147250"
"750","2011-08-05","180968"
"751","2011-08-06","182899"
"752","2011-08-07","102363"
"753","2011-08-08","165201"
"754","2011-08-09","170119"
"755","2011-08-10","153699"
"756","2011-08-11","149686"
"757","2011-08-12","161281"
"758","2011-08-13","189163"
"759","2011-08-14","89573"
"760","2011-08-15","153971"
"761","2011-08-16","160248"
"762","2011-08-17","180528"
"763","2011-08-18","172946"
"764","2011-08-19","181853"
"765","2011-08-20","204004"
"766","2011-08-21","98827"
"767","2011-08-22","173128"
"768","2011-08-23","160991"
"769","2011-08-24","172322"
"770","2011-08-25","177949"
"771","2011-08-26","173152"
"772","2011-08-27","209094"
"773","2011-08-28","102443"
"774","2011-08-29","118552"
"775","2011-08-30","164267"
"776","2011-08-31","174783"
"777","2011-09-01","176219"
"778","2011-09-02","186572"
"779","2011-09-03","201837"
"780","2011-09-04","94105"
"781","2011-09-05","151527"
"782","2011-09-06","137303"
"783","2011-09-07","145350"
"784","2011-09-08","150376"
"785","2011-09-09","173763"
"786","2011-09-10","213007"
"787","2011-09-11","98986"
"788","2011-09-12","148672"
"789","2011-09-13","148313"
"790","2011-09-14","149841"
"791","2011-09-15","176717"
"792","2011-09-16","165319"
"793","2011-09-17","216809"
"794","2011-09-18","108443"
"795","2011-09-19","167099"
"796","2011-09-20","166711"
"797","2011-09-21","183955"
"798","2011-09-22","172941"
"799","2011-09-23","193683"
"800","2011-09-24","272804"
"801","2011-09-25","122844"
"802","2011-09-26","178063"
"803","2011-09-27","177659"
"804","2011-09-28","174469"
"805","2011-09-29","174764"
"806","2011-09-30","200163"
"807","2011-10-01","247322"
"808","2011-10-02","112055"
"809","2011-10-03","155817"
"810","2011-10-04","155715"
"811","2011-10-05","169425"
"812","2011-10-06","148765"
"813","2011-10-07","195497"
"814","2011-10-08","231520"
"815","2011-10-09","111308"
"816","2011-10-10","123190"
"817","2011-10-11","149904"
"818","2011-10-12","141559"
"819","2011-10-13","160732"
"820","2011-10-14","189891"
"821","2011-10-15","264461"
"822","2011-10-16","114075"
"823","2011-10-17","142452"
"824","2011-10-18","140971"
"825","2011-10-19","165576"
"826","2011-10-20","167693"
"827","2011-10-21","183873"
"828","2011-10-22","267852"
"829","2011-10-23","113242"
"830","2011-10-24","193328"
"831","2011-10-25","189892"
"832","2011-10-26","197574"
"833","2011-10-27","183416"
"834","2011-10-28","238110"
"835","2011-10-29","247803"
"836","2011-10-30","122572"
"837","2011-10-31","167361"
"838","2011-11-01","160572"
"839","2011-11-02","150390"
"840","2011-11-03","152511"
"841","2011-11-04","178773"
"842","2011-11-05","221953"
"843","2011-11-06","115966"
"844","2011-11-07","140406"
"845","2011-11-08","149953"
"846","2011-11-09","182992"
"847","2011-11-10","221029"
"848","2011-11-11","209170"
"849","2011-11-12","344532"
"850","2011-11-13","135145"
"851","2011-11-14","177601"
"852","2011-11-15","184482"
"853","2011-11-16","192252"
"854","2011-11-17","217082"
"855","2011-11-18","234356"
"856","2011-11-19","368979"
"857","2011-11-20","156085"
"858","2011-11-21","180604"
"859","2011-11-22","187942"
"860","2011-11-23","191958"
"861","2011-11-24","210096"
"862","2011-11-25","218132"
"863","2011-11-26","354469"
"864","2011-11-27","174870"
"865","2011-11-28","203514"
"866","2011-11-29","177161"
"867","2011-11-30","301033"
"868","2011-12-01","224972"
"869","2011-12-02","251588"
"870","2011-12-03","374532"
"871","2011-12-04","152858"
"872","2011-12-05","191401"
"873","2011-12-06","193419"
"874","2011-12-07","190868"
"875","2011-12-08","178366"
"876","2011-12-09","222519"
"877","2011-12-10","359730"
"878","2011-12-11","172974"
"879","2011-12-12","223513"
"880","2011-12-13","215436"
"881","2011-12-14","193612"
"882","2011-12-15","250538"
"883","2011-12-16","261225"
"884","2011-12-17","340347"
"885","2011-12-18","196846"
"886","2011-12-19","274488"
"887","2011-12-20","307868"
"888","2011-12-21","299425"
"889","2011-12-22","354833"
"890","2011-12-23","286607"
"891","2011-12-24","204329"
"892","2011-12-25","4209"
"893","2011-12-26","240340"
"894","2011-12-27","287597"
"895","2011-12-28","283715"
"896","2011-12-29","208593"
"897","2011-12-30","227873"
"898","2011-12-31","184804"
"899","2012-01-01","32486"
"900","2012-01-02","141394"
"901","2012-01-03","129334"
"902","2012-01-04","135152"
"903","2012-01-05","149768"
"904","2012-01-06","169800"
"905","2012-01-07","214503"
"906","2012-01-08","94484"
"907","2012-01-09","155961"
"908","2012-01-10","155091"
"909","2012-01-11","155671"
"910","2012-01-12","167841"
"911","2012-01-13","180191"
"912","2012-01-14","215423"
"913","2012-01-15","88229"
"914","2012-01-16","141970"
"915","2012-01-17","148770"
"916","2012-01-18","155802"
"917","2012-01-19","156259"
"918","2012-01-20","164789"
"919","2012-01-21","212224"
"920","2012-01-22","89616"
"921","2012-01-23","144178"
"922","2012-01-24","127559"
"923","2012-01-25","153974"
"924","2012-01-26","155250"
"925","2012-01-27","172081"
"926","2012-01-28","281883"
"927","2012-01-29","107268"
"928","2012-01-30","158156"
"929","2012-01-31","159155"
"930","2012-02-01","175162"
"931","2012-02-02","166454"
"932","2012-02-03","192554"
"933","2012-02-04","196501"
"934","2012-02-05","82448"
"935","2012-02-06","147406"
"936","2012-02-07","154610"
"937","2012-02-08","164303"
"938","2012-02-09","152838"
"939","2012-02-10","170136"
"940","2012-02-11","235417"
"941","2012-02-12","113103"
"942","2012-02-13","212193"
"943","2012-02-14","212022"
"944","2012-02-15","201972"
"945","2012-02-16","199181"
"946","2012-02-17","207278"
"947","2012-02-18","214059"
"948","2012-02-19","104180"
"949","2012-02-20","149548"
"950","2012-02-21","160408"
"951","2012-02-22","134652"
"952","2012-02-23","162285"
"953","2012-02-24","182307"
"954","2012-02-25","240711"
"955","2012-02-26","102794"
"956","2012-02-27","136101"
"957","2012-02-28","170496"
"958","2012-02-29","169946"
"959","2012-03-01","190772"
"960","2012-03-02","184380"
"961","2012-03-03","246850"
"962","2012-03-04","84224"
"963","2012-03-05","157211"
"964","2012-03-06","170790"
"965","2012-03-07","152383"
"966","2012-03-08","166723"
"967","2012-03-09","184127"
"968","2012-03-10","287736"
"969","2012-03-11","118334"
"970","2012-03-12","158833"
"971","2012-03-13","155341"
"972","2012-03-14","164285"
"973","2012-03-15","189167"
"974","2012-03-16","199380"
"975","2012-03-17","268448"
"976","2012-03-18","110233"
"977","2012-03-19","150142"
"978","2012-03-20","172662"
"979","2012-03-21","155464"
"980","2012-03-22","186985"
"981","2012-03-23","179974"
"982","2012-03-24","269971"
"983","2012-03-25","129649"
"984","2012-03-26","173531"
"985","2012-03-27","189907"
"986","2012-03-28","169155"
"987","2012-03-29","182307"
"988","2012-03-30","199701"
"989","2012-03-31","235024"
"990","2012-04-01","116320"
"991","2012-04-02","168059"
"992","2012-04-03","165146"
"993","2012-04-04","136537"
"994","2012-04-05","231385"
"995","2012-04-06","161798"
"996","2012-04-07","205194"
"997","2012-04-08","43270"
"998","2012-04-09","106691"
